Country,Year,Intensity,CO2
Canada,1996,0.427831542,16.15737155
Canada,1997,0.423857497,16.51685906
Canada,1998,0.417278058,16.7460786
Canada,1999,0.403728062,16.89846016
Canada,2000,0.397978872,17.36711469
Canada,2001,0.386331106,16.98502952
Canada,2002,0.368938623,16.55937785
Canada,2003,0.38596976,17.46119914
Canada,2004,0.37380479,17.25891114
Canada,2005,0.365631878,17.25108328
Canada,2006,0.347594086,16.69669436
Canada,2007,0.347166769,16.85588274
Canada,2008,0.347866427,16.87519788
Canada,2009,0.342936392,15.96156016
Canada,2010,0.331380472,15.723167
Canada,2011,0.322755661,15.63975962
Canada,2012,0.305610388,14.89063564
China,1996,2.129990319,2.844309582
China,1997,1.953606618,2.820567891
China,1998,1.735820144,2.67674598
China,1999,1.609154656,2.648649247
China,2000,1.522153443,2.696862433
China,2001,1.438972135,2.742120813
China,2002,1.455708066,3.007083197
China,2003,1.560075792,3.524074093
China,2004,1.633103861,4.037990651
China,2005,1.651876797,4.523178064
China,2006,1.622619633,4.980314197
China,2007,1.529571629,5.334909929
China,2008,1.498521962,5.701915025
China,2009,1.451001178,6.010102433
China,2010,1.438548822,6.560520007
China,2011,1.456592573,7.241515419
China,2012,1.391429391,7.424750916
Russia,1996,1.90507365,10.88665067
Russia,1997,1.777485691,10.31678925
Russia,1998,1.839443301,10.12729917
Russia,1999,1.76998239,10.40068271
Russia,2000,1.637206726,10.62712053
Russia,2001,1.557487371,10.6696034
Russia,2002,1.486548708,10.71590102
Russia,2003,1.427427071,11.09064748
Russia,2004,1.330088177,11.12062698
Russia,2005,1.26048808,11.25352867
Russia,2006,1.204554271,11.66912207
Russia,2007,1.108249582,11.67245657
Russia,2008,1.083369856,12.01450651
Russia,2009,1.078704774,11.02385623
Russia,2010,1.095489573,11.69434812
Russia,2011,1.098347516,12.334881
Russia,2012,1.100124202,12.78497902
United Kingdom,1996,0.302174735,9.480231059
United Kingdom,1997,0.277756263,9.042720853
United Kingdom,1998,0.271635568,9.094403914
United Kingdom,1999,0.262691131,9.047636069
United Kingdom,2000,0.25858306,9.199549233
United Kingdom,2001,0.254065509,9.233174987
United Kingdom,2002,0.240148,8.904123108
United Kingdom,2003,0.237414197,9.053277839
United Kingdom,2004,0.231601141,8.989140127
United Kingdom,2005,0.226037605,8.982938536
United Kingdom,2006,0.22016294,8.89871022
United Kingdom,2007,0.20991665,8.617163681
United Kingdom,2008,0.207825043,8.424423983
United Kingdom,2009,0.196509072,7.574622131
United Kingdom,2010,0.201071344,7.857836486
United Kingdom,2011,0.179616864,7.079297626
United Kingdom,2012,0.185256265,7.355898277
United States,1996,0.49131245,19.49602474
United States,1997,0.480653149,19.69036318
United States,1998,0.462943905,19.5792362
United States,1999,0.450712179,19.72716951
United States,2000,0.447861152,20.17875051
United States,2001,0.435906779,19.63650507
United States,2002,0.431740894,19.61340408
United States,2003,0.422514022,19.56410453
United States,2004,0.412867132,19.65837118
United States,2005,0.401838533,19.59188523
United States,2006,0.385152034,19.09406652
United States,2007,0.384515348,19.21789784
United States,2008,0.373987578,18.46176387
United States,2009,0.360641478,17.15773779
United States,2010,0.359892837,17.44286171
United States,2011,0.347444035,16.97695728
United States,2012,0.328863883,16.3104711
